source,register,label,fact_id,variant_key,n_input_tokens,mean_nll,perplexity,reference_model
medqa-native,native,0,medqa_test_442,medqa_test_442__native__wrong,148,2.5077404975891118,12.277158428223252,gemma-2-2b-it
medqa-native,native,1,medqa_test_1121,medqa_test_1121__native__correct,213,1.958559274673462,7.089106249314542,gemma-2-2b-it
medqa-native,native,0,medqa_test_1121,medqa_test_1121__native__wrong,211,2.0394365787506104,7.686277366673347,gemma-2-2b-it
medqa-native,native,1,medqa_test_376,medqa_test_376__native__correct,229,1.9044946432113647,6.716012787249782,gemma-2-2b-it
medqa-native,native,0,medqa_test_376,medqa_test_376__native__wrong,228,1.929327368736267,6.884877699771883,gemma-2-2b-it
medqa-native,native,1,medqa_test_35,medqa_test_35__native__correct,123,2.680556535720825,14.593212680445715,gemma-2-2b-it
medqa-native,native,0,medqa_test_35,medqa_test_35__native__wrong,122,2.7692630290985107,15.94687729361227,gemma-2-2b-it
medqa-native,native,1,medqa_test_332,medqa_test_332__native__correct,193,2.0179755687713623,7.523079550076617,gemma-2-2b-it
medqa-native,native,0,medqa_test_332,medqa_test_332__native__wrong,196,2.0419771671295166,7.705829860530562,gemma-2-2b-it
medqa-native,native,1,medqa_test_400,medqa_test_400__native__correct,215,1.999693512916565,7.386791795685125,gemma-2-2b-it
medqa-native,native,0,medqa_test_400,medqa_test_400__native__wrong,214,2.007648706436157,7.445789511894176,gemma-2-2b-it
medqa-native,native,1,medqa_test_1145,medqa_test_1145__native__correct,111,2.1923868656158447,8.956565740439178,gemma-2-2b-it
medqa-native,native,0,medqa_test_1145,medqa_test_1145__native__wrong,109,2.3134539127349854,10.109280999361411,gemma-2-2b-it
medqa-native,native,1,medqa_test_975,medqa_test_975__native__correct,125,2.279681921005249,9.773571147373946,gemma-2-2b-it
medqa-native,native,0,medqa_test_975,medqa_test_975__native__wrong,126,2.2739202976226807,9.717421423431428,gemma-2-2b-it
medqa-native,native,1,medqa_test_950,medqa_test_950__native__correct,71,2.818922519683838,16.758783680935075,gemma-2-2b-it
medqa-native,native,0,medqa_test_950,medqa_test_950__native__wrong,71,2.897868633270264,18.135450851413623,gemma-2-2b-it
medqa-native,native,1,medqa_test_825,medqa_test_825__native__correct,202,2.069255113601685,7.918922222920976,gemma-2-2b-it
medqa-native,native,0,medqa_test_825,medqa_test_825__native__wrong,207,2.1136040687561035,8.278022147235548,gemma-2-2b-it
medqa-native,native,1,medqa_test_1030,medqa_test_1030__native__correct,219,2.181771039962769,8.861987302406739,gemma-2-2b-it
medqa-native,native,0,medqa_test_1030,medqa_test_1030__native__wrong,219,2.147866725921631,8.56656406164652,gemma-2-2b-it
medqa-native,native,1,medqa_test_845,medqa_test_845__native__correct,110,2.733123540878296,15.380854794949435,gemma-2-2b-it
medqa-native,native,0,medqa_test_845,medqa_test_845__native__wrong,110,2.782258987426758,16.155474772544345,gemma-2-2b-it
medqa-native,native,1,medqa_test_802,medqa_test_802__native__correct,245,2.2562472820281982,9.547193930298096,gemma-2-2b-it
medqa-native,native,0,medqa_test_802,medqa_test_802__native__wrong,245,2.267005205154419,9.65045635739445,gemma-2-2b-it
medqa-native,native,1,medqa_test_650,medqa_test_650__native__correct,193,1.938850998878479,6.950759949692786,gemma-2-2b-it
medqa-native,native,0,medqa_test_650,medqa_test_650__native__wrong,194,2.0036089420318604,7.415770951243005,gemma-2-2b-it
medqa-native,native,1,medqa_test_540,medqa_test_540__native__correct,176,2.0944180488586426,8.120713736209005,gemma-2-2b-it
medqa-native,native,0,medqa_test_540,medqa_test_540__native__wrong,175,2.08107852935791,8.013106626190531,gemma-2-2b-it
medqa-native,native,1,medqa_test_796,medqa_test_796__native__correct,134,2.782076358795166,16.152524589696046,gemma-2-2b-it
medqa-native,native,0,medqa_test_796,medqa_test_796__native__wrong,132,2.810343027114868,16.615616848447853,gemma-2-2b-it
medqa-native,native,1,medqa_test_715,medqa_test_715__native__correct,137,2.179864883422852,8.84511105684641,gemma-2-2b-it
medqa-native,native,0,medqa_test_715,medqa_test_715__native__wrong,135,2.2217724323272705,9.223664707795448,gemma-2-2b-it
medqa-native,native,1,medqa_test_2,medqa_test_2__native__correct,277,1.9490166902542116,7.021779600489884,gemma-2-2b-it
medqa-native,native,0,medqa_test_2,medqa_test_2__native__wrong,278,1.9368751049041748,6.937039544488222,gemma-2-2b-it
medqa-native,native,1,medqa_test_395,medqa_test_395__native__correct,214,1.858249545097351,6.412502145625829,gemma-2-2b-it
medqa-native,native,0,medqa_test_395,medqa_test_395__native__wrong,212,1.8444582223892207,6.324672296170511,gemma-2-2b-it
medqa-native,native,1,medqa_test_464,medqa_test_464__native__correct,286,1.9473528861999512,7.01010644873392,gemma-2-2b-it
medqa-native,native,0,medqa_test_464,medqa_test_464__native__wrong,286,1.9697082042694087,7.1685844208048985,gemma-2-2b-it
medqa-native,native,1,medqa_test_331,medqa_test_331__native__correct,224,2.235286235809326,9.349157532913498,gemma-2-2b-it
medqa-native,native,0,medqa_test_331,medqa_test_331__native__wrong,224,2.2408666610717773,9.40147565069544,gemma-2-2b-it
medqa-native,native,1,medqa_test_959,medqa_test_959__native__correct,161,1.8944885730743408,6.64914698211816,gemma-2-2b-it
medqa-native,native,0,medqa_test_959,medqa_test_959__native__wrong,162,1.9200234413146973,6.821118363398822,gemma-2-2b-it
medqa-native,native,1,medqa_test_761,medqa_test_761__native__correct,309,1.6300114393234253,5.103933103744296,gemma-2-2b-it
medqa-native,native,0,medqa_test_761,medqa_test_761__native__wrong,313,1.6921255588531494,5.4310123816103095,gemma-2-2b-it
medqa-native,native,1,medqa_test_454,medqa_test_454__native__correct,173,2.0754880905151367,7.968434827479476,gemma-2-2b-it
medqa-native,native,0,medqa_test_454,medqa_test_454__native__wrong,173,2.057063102722168,7.82296080701857,gemma-2-2b-it
medqa-native,native,1,medqa_test_107,medqa_test_107__native__correct,128,2.4214324951171875,11.26198049743986,gemma-2-2b-it
medqa-native,native,0,medqa_test_107,medqa_test_107__native__wrong,128,2.440767765045166,11.481852724771926,gemma-2-2b-it
medqa-native,native,1,medqa_test_920,medqa_test_920__native__correct,174,2.194429874420166,8.97488278767666,gemma-2-2b-it
medqa-native,native,0,medqa_test_920,medqa_test_920__native__wrong,174,2.188827514648437,8.924742847525595,gemma-2-2b-it
medqa-native,native,1,medqa_test_528,medqa_test_528__native__correct,265,2.112531900405884,8.269151470166234,gemma-2-2b-it
medqa-native,native,0,medqa_test_528,medqa_test_528__native__wrong,266,2.140597343444824,8.50451622892164,gemma-2-2b-it
medqa-native,native,1,medqa_test_1166,medqa_test_1166__native__correct,194,2.372110605239868,10.719994099683738,gemma-2-2b-it
medqa-native,native,0,medqa_test_1166,medqa_test_1166__native__wrong,195,2.373210191726685,10.731788143431729,gemma-2-2b-it
medqa-native,native,1,medqa_test_187,medqa_test_187__native__correct,82,2.562039375305176,12.962225220590716,gemma-2-2b-it
medqa-native,native,0,medqa_test_187,medqa_test_187__native__wrong,83,2.5952932834625244,13.40051693514654,gemma-2-2b-it
medqa-native,native,1,medqa_test_823,medqa_test_823__native__correct,150,2.238964796066284,9.383612305375502,gemma-2-2b-it
medqa-native,native,0,medqa_test_823,medqa_test_823__native__wrong,151,2.238463878631592,9.378913067434716,gemma-2-2b-it
medqa-native,native,1,medqa_test_997,medqa_test_997__native__correct,169,1.7690927982330322,5.8655297280094665,gemma-2-2b-it
medqa-native,native,0,medqa_test_997,medqa_test_997__native__wrong,170,1.7744636535644531,5.897117390070681,gemma-2-2b-it
medqa-native,native,1,medqa_test_371,medqa_test_371__native__correct,249,1.76813542842865,5.859916934149547,gemma-2-2b-it
medqa-native,native,0,medqa_test_371,medqa_test_371__native__wrong,248,1.7458375692367554,5.730699323334235,gemma-2-2b-it
medqa-native,native,1,medqa_test_1142,medqa_test_1142__native__correct,217,1.999860763549805,7.388027344610853,gemma-2-2b-it
medqa-native,native,0,medqa_test_1142,medqa_test_1142__native__wrong,217,2.0125572681427,7.482427475456886,gemma-2-2b-it
medqa-native,native,1,medqa_test_586,medqa_test_586__native__correct,87,2.4401791095733643,11.4750958582674,gemma-2-2b-it
medqa-native,native,0,medqa_test_586,medqa_test_586__native__wrong,88,2.394599676132202,10.963808106370688,gemma-2-2b-it
medqa-native,native,1,medqa_test_195,medqa_test_195__native__correct,147,1.7845004796981812,5.956603759803452,gemma-2-2b-it
medqa-native,native,0,medqa_test_195,medqa_test_195__native__wrong,147,1.8370789289474487,6.278172462341623,gemma-2-2b-it
medqa-native,native,1,medqa_test_1155,medqa_test_1155__native__correct,83,2.955111503601074,19.203863900435707,gemma-2-2b-it
medqa-native,native,0,medqa_test_1155,medqa_test_1155__native__wrong,81,3.023370742797852,20.560479099037853,gemma-2-2b-it
medqa-native,native,1,medqa_test_536,medqa_test_536__native__correct,291,1.6178617477416992,5.0422970782285335,gemma-2-2b-it
medqa-native,native,0,medqa_test_536,medqa_test_536__native__wrong,290,1.6162354946136477,5.034103690899138,gemma-2-2b-it
medqa-native,native,1,medqa_test_510,medqa_test_510__native__correct,159,2.120678663253784,8.336793443590441,gemma-2-2b-it
medqa-native,native,0,medqa_test_510,medqa_test_510__native__wrong,157,2.241762161254883,9.409898444605975,gemma-2-2b-it
medqa-native,native,1,medqa_test_976,medqa_test_976__native__correct,173,2.0033986568450928,7.41421168841418,gemma-2-2b-it
medqa-native,native,0,medqa_test_976,medqa_test_976__native__wrong,166,2.062670946121216,7.866953984274504,gemma-2-2b-it
medqa-native,native,1,medqa_test_1050,medqa_test_1050__native__correct,166,1.8554308414459229,6.394452652449726,gemma-2-2b-it
medqa-native,native,0,medqa_test_1050,medqa_test_1050__native__wrong,155,1.8205326795578003,6.175146948493677,gemma-2-2b-it
medqa-native,native,1,medqa_test_742,medqa_test_742__native__correct,167,1.7753385305404663,5.902278899813896,gemma-2-2b-it
medqa-native,native,0,medqa_test_742,medqa_test_742__native__wrong,168,1.6929501295089722,5.435492481877362,gemma-2-2b-it
medqa-native,native,1,medqa_test_1263,medqa_test_1263__native__correct,242,2.116063117980957,8.298403259989536,gemma-2-2b-it
medqa-native,native,0,medqa_test_1263,medqa_test_1263__native__wrong,242,2.118071794509888,8.31508882018183,gemma-2-2b-it
medqa-native,native,1,medqa_test_631,medqa_test_631__native__correct,293,2.012014389038086,7.47836652433116,gemma-2-2b-it
medqa-native,native,0,medqa_test_631,medqa_test_631__native__wrong,291,2.0080244541168213,7.448587775721632,gemma-2-2b-it
medqa-native,native,1,medqa_test_1157,medqa_test_1157__native__correct,161,1.457370042800903,4.294649917499588,gemma-2-2b-it
medqa-native,native,0,medqa_test_1157,medqa_test_1157__native__wrong,154,1.5283513069152832,4.610569139199375,gemma-2-2b-it
medqa-native,native,1,medqa_test_473,medqa_test_473__native__correct,173,1.7889379262924194,5.983094603253037,gemma-2-2b-it
medqa-native,native,0,medqa_test_473,medqa_test_473__native__wrong,173,1.81747841835022,6.15631520988148,gemma-2-2b-it
medqa-native,native,1,medqa_test_812,medqa_test_812__native__correct,205,1.528879165649414,4.613003510834456,gemma-2-2b-it
medqa-native,native,0,medqa_test_812,medqa_test_812__native__wrong,203,1.546421766281128,4.694641567432822,gemma-2-2b-it
medqa-native,native,1,medqa_test_299,medqa_test_299__native__correct,72,2.319901704788208,10.174674135169104,gemma-2-2b-it
medqa-native,native,0,medqa_test_299,medqa_test_299__native__wrong,71,2.319584369659424,10.171445865890798,gemma-2-2b-it
medqa-native,native,1,medqa_test_717,medqa_test_717__native__correct,354,1.5843769311904907,4.87625219115202,gemma-2-2b-it
medqa-native,native,0,medqa_test_717,medqa_test_717__native__wrong,354,1.599890112876892,4.952488179814621,gemma-2-2b-it
medqa-native,native,1,medqa_test_850,medqa_test_850__native__correct,142,2.432122707366944,11.383019271706956,gemma-2-2b-it
medqa-native,native,0,medqa_test_850,medqa_test_850__native__wrong,140,2.46724796295166,11.789955768747037,gemma-2-2b-it
medqa-native,native,1,medqa_test_49,medqa_test_49__native__correct,146,2.4120121002197266,11.15638634403982,gemma-2-2b-it
medqa-native,native,0,medqa_test_49,medqa_test_49__native__wrong,145,2.4697048664093018,11.818958165295784,gemma-2-2b-it
medqa-native,native,1,medqa_test_793,medqa_test_793__native__correct,160,2.6250345706939697,13.805051428025909,gemma-2-2b-it
medqa-native,native,0,medqa_test_793,medqa_test_793__native__wrong,161,2.5929994583129883,13.36981371975016,gemma-2-2b-it
medqa-native,native,1,medqa_test_100,medqa_test_100__native__correct,261,1.8814473152160645,6.562996716692576,gemma-2-2b-it
medqa-native,native,0,medqa_test_100,medqa_test_100__native__wrong,261,1.8721121549606323,6.502015169696826,gemma-2-2b-it
medqa-native,native,1,medqa_test_662,medqa_test_662__native__correct,220,1.573653221130371,4.824240056440027,gemma-2-2b-it
medqa-native,native,0,medqa_test_662,medqa_test_662__native__wrong,215,1.5813347101211548,4.861440096254252,gemma-2-2b-it
medqa-native,native,1,medqa_test_665,medqa_test_665__native__correct,136,2.2176334857940674,9.185567348582865,gemma-2-2b-it
medqa-native,native,0,medqa_test_665,medqa_test_665__native__wrong,132,2.253271102905273,9.518822011938134,gemma-2-2b-it
medqa-native,native,1,medqa_test_1254,medqa_test_1254__native__correct,170,1.878717064857483,6.545102531471931,gemma-2-2b-it
medqa-native,native,0,medqa_test_1254,medqa_test_1254__native__wrong,173,1.9053300619125368,6.721625814216954,gemma-2-2b-it
medqa-native,native,1,medqa_test_1150,medqa_test_1150__native__correct,182,1.9654022455215452,7.137783154091488,gemma-2-2b-it
medqa-native,native,0,medqa_test_1150,medqa_test_1150__native__wrong,184,1.886539340019226,6.596500888400398,gemma-2-2b-it
medqa-native,native,1,medqa_test_44,medqa_test_44__native__correct,245,2.217601776123047,9.185276081882112,gemma-2-2b-it
medqa-native,native,0,medqa_test_44,medqa_test_44__native__wrong,241,2.170161247253418,8.759696403853834,gemma-2-2b-it
medqa-native,native,1,medqa_test_289,medqa_test_289__native__correct,120,2.2903172969818115,9.878071466238977,gemma-2-2b-it
medqa-native,native,0,medqa_test_289,medqa_test_289__native__wrong,120,2.414640188217163,11.18574487058307,gemma-2-2b-it
medqa-native,native,1,medqa_test_1201,medqa_test_1201__native__correct,109,1.4528248310089111,4.275174118397079,gemma-2-2b-it
medqa-native,native,0,medqa_test_1201,medqa_test_1201__native__wrong,113,1.517952799797058,4.562874509423368,gemma-2-2b-it
medqa-native,native,1,medqa_test_861,medqa_test_861__native__correct,131,2.0653955936431885,7.888417888461437,gemma-2-2b-it
medqa-native,native,0,medqa_test_861,medqa_test_861__native__wrong,132,2.0598981380462646,7.845170645207572,gemma-2-2b-it
medqa-native,native,1,medqa_test_898,medqa_test_898__native__correct,241,1.9884291887283323,7.304051460043377,gemma-2-2b-it
medqa-native,native,0,medqa_test_898,medqa_test_898__native__wrong,241,1.988838791847229,7.307043835103233,gemma-2-2b-it
medqa-native,native,1,medqa_test_328,medqa_test_328__native__correct,202,1.7356288433074951,5.672493792221538,gemma-2-2b-it
medqa-native,native,0,medqa_test_328,medqa_test_328__native__wrong,203,1.6724088191986084,5.32497927302695,gemma-2-2b-it
medqa-native,native,1,medqa_test_1071,medqa_test_1071__native__correct,385,1.55201256275177,4.720961860080818,gemma-2-2b-it
medqa-native,native,0,medqa_test_1071,medqa_test_1071__native__wrong,381,1.5931611061096191,4.919274725441475,gemma-2-2b-it
medqa-native,native,1,medqa_test_1032,medqa_test_1032__native__correct,321,1.9735714197158811,7.196331769351998,gemma-2-2b-it
medqa-native,native,0,medqa_test_1032,medqa_test_1032__native__wrong,317,1.9711053371429443,7.17860688548305,gemma-2-2b-it
medqa-native,native,1,medqa_test_892,medqa_test_892__native__correct,197,1.814201593399048,6.1361750584911325,gemma-2-2b-it
medqa-native,native,0,medqa_test_892,medqa_test_892__native__wrong,199,1.7528079748153689,5.770784163364687,gemma-2-2b-it
medqa-native,native,1,medqa_test_623,medqa_test_623__native__correct,103,2.0620248317718506,7.861872674149933,gemma-2-2b-it
medqa-native,native,0,medqa_test_623,medqa_test_623__native__wrong,101,2.20768141746521,9.094605335541353,gemma-2-2b-it
medqa-native,native,1,medqa_test_1173,medqa_test_1173__native__correct,308,1.497655749320984,4.4711951726609405,gemma-2-2b-it
medqa-native,native,0,medqa_test_1173,medqa_test_1173__native__wrong,303,1.492023468017578,4.446082929679818,gemma-2-2b-it
medqa-native,native,1,medqa_test_246,medqa_test_246__native__correct,189,1.799367904663086,6.045824718757848,gemma-2-2b-it
medqa-native,native,0,medqa_test_246,medqa_test_246__native__wrong,197,1.7600935697555542,5.812981288194365,gemma-2-2b-it
medqa-native,native,1,medqa_test_272,medqa_test_272__native__correct,105,2.2851874828338623,9.827528544211596,gemma-2-2b-it
medqa-native,native,0,medqa_test_272,medqa_test_272__native__wrong,104,2.447927713394165,11.56435720868904,gemma-2-2b-it
medqa-native,native,1,medqa_test_581,medqa_test_581__native__correct,210,2.032625675201416,7.634104745904139,gemma-2-2b-it
medqa-native,native,0,medqa_test_581,medqa_test_581__native__wrong,213,2.053808689117432,7.797543039337097,gemma-2-2b-it
medqa-native,native,1,medqa_test_489,medqa_test_489__native__correct,119,1.93707811832428,6.938447999574357,gemma-2-2b-it
medqa-native,native,0,medqa_test_489,medqa_test_489__native__wrong,117,1.9811275005340576,7.250913787171039,gemma-2-2b-it
medqa-native,native,1,medqa_test_1185,medqa_test_1185__native__correct,204,1.9866108894348145,7.290782575491277,gemma-2-2b-it
medqa-native,native,0,medqa_test_1185,medqa_test_1185__native__wrong,202,1.980432748794556,7.245877951734696,gemma-2-2b-it
medqa-native,native,1,medqa_test_1138,medqa_test_1138__native__correct,164,2.3981869220733643,11.003208609896562,gemma-2-2b-it
medqa-native,native,0,medqa_test_1138,medqa_test_1138__native__wrong,165,2.3519389629364014,10.505920579191256,gemma-2-2b-it
medqa-native,native,1,medqa_test_214,medqa_test_214__native__correct,139,1.884562373161316,6.583472707150407,gemma-2-2b-it
medqa-native,native,0,medqa_test_214,medqa_test_214__native__wrong,139,1.8789602518081665,6.546694408552493,gemma-2-2b-it
medqa-native,native,1,medqa_test_848,medqa_test_848__native__correct,198,2.02221941947937,7.555074218831064,gemma-2-2b-it
medqa-native,native,0,medqa_test_848,medqa_test_848__native__wrong,198,2.0463979244232178,7.73997087305385,gemma-2-2b-it
medqa-native,native,1,medqa_test_455,medqa_test_455__native__correct,145,2.056082248687744,7.815291386255895,gemma-2-2b-it
medqa-native,native,0,medqa_test_455,medqa_test_455__native__wrong,145,2.067305326461792,7.903497052994675,gemma-2-2b-it
medqa-native,native,1,medqa_test_835,medqa_test_835__native__correct,111,2.2750816345214844,9.728713178988771,gemma-2-2b-it
medqa-native,native,0,medqa_test_835,medqa_test_835__native__wrong,111,2.2807137966156006,9.783661462146494,gemma-2-2b-it
medqa-native,native,1,medqa_test_78,medqa_test_78__native__correct,112,2.615550756454468,13.674745758765749,gemma-2-2b-it
medqa-native,native,0,medqa_test_78,medqa_test_78__native__wrong,114,2.5435545444488525,12.724821622356338,gemma-2-2b-it
medqa-native,native,1,medqa_test_860,medqa_test_860__native__correct,162,1.9934470653533936,7.340794397801128,gemma-2-2b-it
medqa-native,native,0,medqa_test_860,medqa_test_860__native__wrong,162,1.996147871017456,7.360647254175091,gemma-2-2b-it
medqa-native,native,1,medqa_test_22,medqa_test_22__native__correct,204,2.2030365467071533,9.05246002469631,gemma-2-2b-it
medqa-native,native,0,medqa_test_22,medqa_test_22__native__wrong,204,2.2385401725769043,9.379628649012297,gemma-2-2b-it
medqa-native,native,1,medqa_test_603,medqa_test_603__native__correct,149,1.7171036005020142,5.568376840904055,gemma-2-2b-it
medqa-native,native,0,medqa_test_603,medqa_test_603__native__wrong,150,1.795714259147644,6.0237757225230135,gemma-2-2b-it
medqa-native,native,1,medqa_test_356,medqa_test_356__native__correct,134,2.553067684173584,12.846452255732594,gemma-2-2b-it
medqa-native,native,0,medqa_test_356,medqa_test_356__native__wrong,133,2.6572601795196533,14.257173442418996,gemma-2-2b-it
medqa-native,native,1,medqa_test_1236,medqa_test_1236__native__correct,305,1.947423338890076,7.010600346989318,gemma-2-2b-it
medqa-native,native,0,medqa_test_1236,medqa_test_1236__native__wrong,302,1.946372509002685,7.003237267965457,gemma-2-2b-it
medqa-native,native,1,medqa_test_185,medqa_test_185__native__correct,212,2.2047269344329834,9.067775132599037,gemma-2-2b-it
medqa-native,native,0,medqa_test_185,medqa_test_185__native__wrong,215,2.272747278213501,9.70602938234348,gemma-2-2b-it
medqa-native,native,1,medqa_test_1193,medqa_test_1193__native__correct,138,2.154630661010742,8.624704151128993,gemma-2-2b-it
medqa-native,native,0,medqa_test_1193,medqa_test_1193__native__wrong,131,2.2525031566619877,9.511514874437063,gemma-2-2b-it
medqa-native,native,1,medqa_test_711,medqa_test_711__native__correct,138,2.3235654830932617,10.212020257707708,gemma-2-2b-it
medqa-native,native,0,medqa_test_711,medqa_test_711__native__wrong,136,2.38806700706482,10.892418612147065,gemma-2-2b-it
medqa-native,native,1,medqa_test_263,medqa_test_263__native__correct,130,2.527656555175781,12.524122131031849,gemma-2-2b-it
medqa-native,native,0,medqa_test_263,medqa_test_263__native__wrong,133,2.5548312664031982,12.86912802005467,gemma-2-2b-it
medqa-native,native,1,medqa_test_667,medqa_test_667__native__correct,159,2.402113199234009,11.04649517848066,gemma-2-2b-it
medqa-native,native,0,medqa_test_667,medqa_test_667__native__wrong,158,2.469059705734253,11.811335497454651,gemma-2-2b-it
medqa-native,native,1,medqa_test_1187,medqa_test_1187__native__correct,265,1.8174457550048828,6.156114127315808,gemma-2-2b-it
medqa-native,native,0,medqa_test_1187,medqa_test_1187__native__wrong,265,1.830909848213196,6.239561130224755,gemma-2-2b-it
medqa-native,native,1,medqa_test_463,medqa_test_463__native__correct,223,1.6974499225616455,5.460006185117885,gemma-2-2b-it
medqa-native,native,0,medqa_test_463,medqa_test_463__native__wrong,221,1.7111345529556274,5.535237937024514,gemma-2-2b-it
medqa-native,native,1,medqa_test_639,medqa_test_639__native__correct,242,2.2824528217315674,9.80069029765004,gemma-2-2b-it
medqa-native,native,0,medqa_test_639,medqa_test_639__native__wrong,249,2.2278435230255127,9.279832740897628,gemma-2-2b-it
medqa-native,native,1,medqa_test_1238,medqa_test_1238__native__correct,245,1.8124743700027464,6.12558566112636,gemma-2-2b-it
medqa-native,native,0,medqa_test_1238,medqa_test_1238__native__wrong,249,1.8641161918640137,6.450232598007185,gemma-2-2b-it
medqa-native,native,1,medqa_test_231,medqa_test_231__native__correct,160,1.882250189781189,6.568268095672292,gemma-2-2b-it
medqa-native,native,0,medqa_test_231,medqa_test_231__native__wrong,158,1.8979352712631223,6.672104125423448,gemma-2-2b-it
medqa-native,native,1,medqa_test_177,medqa_test_177__native__correct,180,2.033166646957397,7.638235698217397,gemma-2-2b-it
medqa-native,native,0,medqa_test_177,medqa_test_177__native__wrong,179,2.06095027923584,7.853429216212148,gemma-2-2b-it
medqa-native,native,1,medqa_test_296,medqa_test_296__native__correct,101,2.402865171432495,11.05480495971625,gemma-2-2b-it
medqa-native,native,0,medqa_test_296,medqa_test_296__native__wrong,93,2.3090925216674805,10.065286479901635,gemma-2-2b-it
medqa-native,native,1,medqa_test_482,medqa_test_482__native__correct,80,2.4146132469177246,11.185443516140529,gemma-2-2b-it
medqa-native,native,0,medqa_test_482,medqa_test_482__native__wrong,77,2.624984741210937,13.804363546588547,gemma-2-2b-it
