model,generator,split_id,seed,layer,position,n_train_specialties,n_test_specialties,n_train_facts,n_test_facts_in,n_test_facts_out,in_dist_auroc,in_dist_ci_lo,in_dist_ci_hi,heldout_specialty_auroc,heldout_ci_lo,heldout_ci_hi,delta_specialty
gemma-2-2b-it,sonnet,1,1042,9,last_question_token,7,8,136,34,181,0.7301038062283737,0.620242214532872,0.8382352941176471,0.6808705472970911,0.6383474252922682,0.7233715393303013,0.0492332589312826
gemma-2-2b-it,sonnet,2,2042,9,last_question_token,7,8,145,36,170,0.7831790123456791,0.684375,0.8657600308641976,0.7003806228373703,0.6578096885813149,0.741038062283737,0.0827983895083087
gemma-2-2b-it,sonnet,3,3042,9,last_question_token,7,8,126,32,193,0.6982421875,0.6093505859375,0.7978515625,0.6791054793417274,0.6377345700555719,0.7259530457193482,0.0191367081582726
gemma-2-2b-it,sonnet,4,4042,9,last_question_token,7,8,131,33,187,0.7722681359044995,0.666643709825528,0.8641873278236915,0.6951013755040178,0.6553919185564357,0.739490691755555,0.0771667604004816
gemma-2-2b-it,sonnet,0,42,11,last_question_token,7,8,137,34,180,0.6946366782006921,0.5864835640138408,0.7915657439446367,0.6891049382716049,0.648391975308642,0.7299799382716049,0.0055317399290871
gemma-2-2b-it,sonnet,1,1042,11,last_question_token,7,8,136,34,181,0.7257785467128028,0.6124567474048442,0.8365051903114187,0.7043741033545985,0.6648110558285767,0.7461722780134915,0.0214044433582043
gemma-2-2b-it,sonnet,2,2042,11,last_question_token,7,8,145,36,170,0.7947530864197531,0.6913387345679012,0.8804205246913581,0.7051211072664361,0.6621652249134948,0.7475086505190311,0.089631979153317
gemma-2-2b-it,sonnet,3,3042,11,last_question_token,7,8,126,32,193,0.728515625,0.6337890625,0.8291015625,0.6885822438186261,0.6488201025530886,0.7330478670568339,0.0399333811813739
gemma-2-2b-it,sonnet,4,4042,11,last_question_token,7,8,131,33,187,0.7355371900826445,0.6289485766758495,0.8365472910927456,0.6981040350024308,0.655434098773199,0.7384826560668019,0.0374331550802137
gemma-2-2b-it,sonnet,0,42,13,last_question_token,7,8,137,34,180,0.7352941176470589,0.6383650519031142,0.8209342560553633,0.7131481481481482,0.6733155864197531,0.7576905864197531,0.0221459694989106
gemma-2-2b-it,sonnet,1,1042,13,last_question_token,7,8,136,34,181,0.7076124567474049,0.5674091695501731,0.814878892733564,0.7084032843930282,0.6623378407252525,0.7517497939623333,-0.0007908276456233
gemma-2-2b-it,sonnet,2,2042,13,last_question_token,7,8,145,36,170,0.7538580246913581,0.6404320987654321,0.8511381172839505,0.7104844290657439,0.6667785467128027,0.7530994809688581,0.0433735956256141
gemma-2-2b-it,sonnet,3,3042,13,last_question_token,7,8,126,32,193,0.7275390625,0.6171875,0.835986328125,0.7026497355633707,0.6663527879943085,0.7462482214287631,0.0248893269366292
gemma-2-2b-it,sonnet,4,4042,13,last_question_token,7,8,131,33,187,0.761248852157943,0.6418732782369146,0.859504132231405,0.7168921044353571,0.6721617718550715,0.7596106551517058,0.0443567477225859
gemma-2-2b-it,sonnet,0,42,15,last_question_token,7,8,137,34,180,0.773356401384083,0.6522058823529412,0.8693771626297578,0.7208641975308642,0.6777754629629631,0.767625,0.0524922038532188
gemma-2-2b-it,sonnet,1,1042,15,last_question_token,7,8,136,34,181,0.7197231833910034,0.5890570934256056,0.8200692041522492,0.7243979121516437,0.6798228076066053,0.7681793901285066,-0.0046747287606403
gemma-2-2b-it,sonnet,2,2042,15,last_question_token,7,8,145,36,170,0.753858024691358,0.6427276234567901,0.8472800925925924,0.6674048442906575,0.6151877162629757,0.7215233564013842,0.0864531804007004
gemma-2-2b-it,sonnet,3,3042,15,last_question_token,7,8,126,32,193,0.78125,0.6845703125,0.8740478515625,0.7009047222744235,0.6586116405809552,0.7492832022336171,0.0803452777255765
gemma-2-2b-it,sonnet,4,4042,15,last_question_token,7,8,131,33,187,0.758494031221304,0.6326905417814508,0.8623507805325986,0.7091709800108668,0.663730018015957,0.7516178615345019,0.0493230512104372
gemma-2-2b-it,sonnet,0,42,17,last_question_token,7,8,137,34,180,0.7050173010380624,0.5794982698961938,0.820069204152249,0.7074382716049382,0.6609845679012345,0.7541080246913581,-0.0024209705668758
gemma-2-2b-it,sonnet,1,1042,17,last_question_token,7,8,136,34,181,0.7352941176470589,0.6237024221453288,0.8356401384083044,0.7287018100790574,0.6850828729281768,0.7693980647721377,0.0065923075680014
gemma-2-2b-it,sonnet,2,2042,17,last_question_token,7,8,145,36,170,0.7399691358024691,0.6141782407407408,0.8426504629629629,0.7196193771626297,0.6727231833910035,0.7678243944636677,0.0203497586398394
gemma-2-2b-it,sonnet,3,3042,17,last_question_token,7,8,126,32,193,0.7265625,0.6357421875,0.826171875,0.7208247201267147,0.67947595908615,0.764079572605976,0.0057377798732852
gemma-2-2b-it,sonnet,4,4042,17,last_question_token,7,8,131,33,187,0.7548209366391184,0.6500918273645546,0.8484848484848485,0.7030798707426578,0.6607252137607594,0.745006291286568,0.0517410658964606
gemma-2-2b-it,sonnet,0,42,1,first_answer_token,7,8,137,34,180,0.6877162629757785,0.5613970588235295,0.8053849480968859,0.6569135802469136,0.6148757716049382,0.6989197530864197,0.0308026827288648
gemma-2-2b-it,sonnet,1,1042,1,first_answer_token,7,8,136,34,181,0.5986159169550174,0.4861159169550173,0.6998702422145328,0.6486065748908763,0.6102911999023228,0.689212020390098,-0.0499906579358588
gemma-2-2b-it,sonnet,2,2042,1,first_answer_token,7,8,145,36,170,0.7145061728395061,0.6226658950617283,0.8001929012345679,0.6659861591695502,0.6188512110726644,0.7080743944636678,0.0485200136699559
gemma-2-2b-it,sonnet,3,3042,1,first_answer_token,7,8,126,32,193,0.6181640625,0.4882568359375,0.7568359375,0.6387285564713147,0.5932374023463717,0.6847975784584822,-0.0205644939713146
gemma-2-2b-it,sonnet,4,4042,1,first_answer_token,7,8,131,33,187,0.6997245179063362,0.5757575757575758,0.8117768595041321,0.6584117361091252,0.6167898710286254,0.7007077697389115,0.0413127817972109
gemma-2-2b-it,sonnet,0,42,3,first_answer_token,7,8,137,34,180,0.7283737024221453,0.6210856401384083,0.8313365051903114,0.6760185185185185,0.6281072530864198,0.7205324074074073,0.0523551839036268
gemma-2-2b-it,sonnet,1,1042,3,first_answer_token,7,8,136,34,181,0.6548442906574394,0.544939446366782,0.7552119377162629,0.681236836482403,0.6413082628735386,0.7254059705137206,-0.0263925458249635
gemma-2-2b-it,sonnet,2,2042,3,first_answer_token,7,8,145,36,170,0.7199074074074074,0.6125578703703703,0.8279320987654321,0.6791349480968857,0.6394394463667821,0.7208330449826991,0.0407724593105217
gemma-2-2b-it,sonnet,3,3042,3,first_answer_token,7,8,126,32,193,0.6669921875,0.5644287109375,0.7646728515625,0.6565008456602861,0.6105378667883702,0.7036698971784477,0.0104913418397138
gemma-2-2b-it,sonnet,4,4042,3,first_answer_token,7,8,131,33,187,0.7300275482093664,0.601354453627181,0.8402433425160697,0.66696216649032,0.6262060682318624,0.707184220309417,0.0630653817190464
gemma-2-2b-it,sonnet,0,42,5,first_answer_token,7,8,137,34,180,0.708477508650519,0.5985942906574394,0.8123269896193772,0.6626543209876543,0.6129313271604938,0.7120493827160495,0.0458231876628646
gemma-2-2b-it,sonnet,1,1042,5,first_answer_token,7,8,136,34,181,0.6929065743944637,0.5743728373702423,0.8001946366782007,0.6783675711974604,0.63333765758066,0.7262705656115502,0.0145390031970032
gemma-2-2b-it,sonnet,2,2042,5,first_answer_token,7,8,145,36,170,0.7060185185185186,0.5986689814814815,0.8132716049382716,0.6698961937716263,0.6205354671280277,0.7139861591695501,0.0361223247468922
gemma-2-2b-it,sonnet,3,3042,5,first_answer_token,7,8,126,32,193,0.6279296875,0.5263427734375,0.7353515625,0.6705683374050311,0.62600204032323,0.7156970656930388,-0.042638649905031
gemma-2-2b-it,sonnet,4,4042,5,first_answer_token,7,8,131,33,187,0.7098255280073462,0.5803489439853077,0.8172635445362718,0.6905830878778347,0.6464554319540163,0.7337377391403814,0.0192424401295114
gemma-2-2b-it,sonnet,0,42,7,first_answer_token,7,8,137,34,180,0.7439446366782008,0.6366782006920415,0.8451557093425606,0.662962962962963,0.6175895061728395,0.7105756172839508,0.0809816737152377
gemma-2-2b-it,sonnet,1,1042,7,first_answer_token,7,8,136,34,181,0.6833910034602076,0.569182525951557,0.7872188581314878,0.6896004395470223,0.6465813009370899,0.7346501938280272,-0.0062094360868146
gemma-2-2b-it,sonnet,2,2042,7,first_answer_token,7,8,145,36,170,0.7214506172839507,0.6056712962962962,0.8179398148148147,0.6510726643598617,0.6020510380622838,0.6934775086505189,0.070377952924089
gemma-2-2b-it,sonnet,3,3042,7,first_answer_token,7,8,126,32,193,0.7685546875,0.6786865234375,0.8662353515625,0.6627023544256221,0.6193568954871271,0.706953206797498,0.1058523330743779
gemma-2-2b-it,sonnet,4,4042,7,first_answer_token,7,8,131,33,187,0.7235996326905417,0.5931818181818181,0.8319559228650137,0.6950155852326346,0.655115959850153,0.735831021762132,0.0285840474579071
gemma-2-2b-it,sonnet,0,42,9,first_answer_token,7,8,137,34,180,0.7076124567474048,0.6003243944636678,0.8036332179930796,0.6929320987654322,0.6458618827160494,0.7405956790123457,0.0146803579819726
gemma-2-2b-it,sonnet,1,1042,9,first_answer_token,7,8,136,34,181,0.7024221453287197,0.5769679930795848,0.8097102076124567,0.692042367449101,0.6501869601050029,0.7381604651872652,0.0103797778796187
gemma-2-2b-it,sonnet,2,2042,9,first_answer_token,7,8,145,36,170,0.7669753086419753,0.6682098765432098,0.853414351851852,0.6839100346020761,0.6374740484429066,0.7286885813148788,0.0830652740398991
gemma-2-2b-it,sonnet,3,3042,9,first_answer_token,7,8,126,32,193,0.7744140625,0.666015625,0.8759765625,0.6643936749979866,0.6241194394480389,0.7071344197159656,0.1100203875020133
gemma-2-2b-it,sonnet,4,4042,9,first_answer_token,7,8,131,33,187,0.7235996326905418,0.6133838383838384,0.8191000918273645,0.6917269581629444,0.6496582687523236,0.7329363150218765,0.0318726745275974
gemma-2-2b-it,sonnet,0,42,11,first_answer_token,7,8,137,34,180,0.689446366782007,0.5665873702422146,0.7898140138408304,0.6972839506172839,0.651079475308642,0.7421666666666666,-0.0078375838352768
gemma-2-2b-it,sonnet,1,1042,11,first_answer_token,7,8,136,34,181,0.6833910034602075,0.5579152249134948,0.7958477508650519,0.6874027044351515,0.6410991727969232,0.7342777998229603,-0.0040117009749439
gemma-2-2b-it,sonnet,2,2042,11,first_answer_token,7,8,145,36,170,0.7831790123456791,0.6844135802469137,0.8750192901234567,0.6985467128027683,0.6514446366782007,0.7410735294117646,0.0846322995429108
gemma-2-2b-it,sonnet,3,3042,11,first_answer_token,7,8,126,32,193,0.7666015625,0.6747802734375,0.8652587890625,0.6750248328814197,0.6305075304035007,0.7222099922145562,0.0915767296185803
gemma-2-2b-it,sonnet,4,4042,11,first_answer_token,7,8,131,33,187,0.6740128558310376,0.5573921028466483,0.7823921028466483,0.6933569733192255,0.6478545282964912,0.7368562155051617,-0.0193441174881878
gemma-2-2b-it,sonnet,0,42,13,first_answer_token,7,8,137,34,180,0.7422145328719724,0.643598615916955,0.8296064013840831,0.7054012345679013,0.6576234567901235,0.7535547839506173,0.036813298304071
gemma-2-2b-it,sonnet,1,1042,13,first_answer_token,7,8,136,34,181,0.7197231833910035,0.5820717993079585,0.8365700692041523,0.7213455022740453,0.6795183297213149,0.7641868380086078,-0.0016223188830417
gemma-2-2b-it,sonnet,2,2042,13,first_answer_token,7,8,145,36,170,0.7916666666666667,0.6836226851851851,0.8835069444444446,0.6861937716262976,0.6411756055363321,0.7326340830449826,0.1054728950403691
gemma-2-2b-it,sonnet,3,3042,13,first_answer_token,7,8,126,32,193,0.7587890625,0.6640380859375,0.8574462890625,0.7075357727724234,0.6655782705575989,0.7515080941770249,0.0512532897275765
gemma-2-2b-it,sonnet,4,4042,13,first_answer_token,7,8,131,33,187,0.7722681359044995,0.6510330578512397,0.8778696051423325,0.7196087963624925,0.67477837513226,0.7663380422660071,0.0526593395420069
gemma-2-2b-it,sonnet,0,42,15,first_answer_token,7,8,137,34,180,0.8027681660899654,0.7110510380622836,0.8858347750865052,0.6821296296296296,0.6320972222222223,0.7328441358024691,0.1206385364603357
gemma-2-2b-it,sonnet,1,1042,15,first_answer_token,7,8,136,34,181,0.6617647058823528,0.5363321799307958,0.7690527681660899,0.7188120020756388,0.67338603827722,0.76570922743506,-0.0570472961932859
gemma-2-2b-it,sonnet,2,2042,15,first_answer_token,7,8,145,36,170,0.7484567901234568,0.6319444444444444,0.8510995370370371,0.6753287197231833,0.6262603806228374,0.7224593425605536,0.0731280704002734
gemma-2-2b-it,sonnet,3,3042,15,first_answer_token,7,8,126,32,193,0.7763671875,0.6875,0.8701416015625,0.7006899514080915,0.6597277779269243,0.7486697629466562,0.0756772360919084
gemma-2-2b-it,sonnet,4,4042,15,first_answer_token,7,8,131,33,187,0.787878787878788,0.6519742883379247,0.891712580348944,0.7061683205124539,0.6588635648717436,0.7516957876976751,0.081710467366334
gemma-2-2b-it,sonnet,0,42,17,first_answer_token,7,8,137,34,180,0.7673010380622838,0.6668901384083045,0.8564230103806229,0.6870370370370371,0.6424837962962963,0.7357476851851852,0.0802640010252466
gemma-2-2b-it,sonnet,1,1042,17,first_answer_token,7,8,136,34,181,0.6522491349480969,0.5285034602076124,0.7690743944636679,0.7097768688379475,0.6624370440462746,0.7569717041604346,-0.0575277338898506
gemma-2-2b-it,sonnet,2,2042,17,first_answer_token,7,8,145,36,170,0.7484567901234569,0.6265046296296296,0.8488040123456789,0.6958477508650519,0.6499152249134948,0.7411107266435987,0.0526090392584049
gemma-2-2b-it,sonnet,3,3042,17,first_answer_token,7,8,126,32,193,0.7470703125,0.6591552734375,0.8437744140625,0.6871862331874681,0.6458374721469032,0.7313552041665548,0.0598840793125319
gemma-2-2b-it,sonnet,4,4042,17,first_answer_token,7,8,131,33,187,0.7741046831955922,0.666643709825528,0.8751377410468321,0.7060825302410706,0.6609547027367096,0.7499792673510823,0.0680221529545216
qwen2.5-7b-instruct,sonnet,0,42,1,last_question_token,7,8,137,34,180,0.6989619377162629,0.6020761245674741,0.8019896193771626,0.6768827160493825,0.6335787037037037,0.7222577160493827,0.0220792216668803
qwen2.5-7b-instruct,sonnet,1,1042,1,last_question_token,7,8,136,34,181,0.7058823529411764,0.5960207612456747,0.8079584775086504,0.6676230884283141,0.6225313635114923,0.7137228717072127,0.0382592645128623
qwen2.5-7b-instruct,sonnet,2,2042,1,last_question_token,7,8,145,36,170,0.7515432098765432,0.6373263888888889,0.8541666666666665,0.6959515570934256,0.6502378892733564,0.7480025951557093,0.0555916527831176
qwen2.5-7b-instruct,sonnet,3,3042,1,last_question_token,7,8,126,32,193,0.6767578125,0.5595703125,0.7919921875,0.6759644554216222,0.6341895084431797,0.720860291551451,0.0007933570783777
qwen2.5-7b-instruct,sonnet,4,4042,1,last_question_token,7,8,131,33,187,0.6767676767676768,0.5592056932966024,0.7759412304866851,0.6630730075209471,0.6176492035803139,0.7105507735422804,0.0136946692467296
qwen2.5-7b-instruct,sonnet,0,42,3,last_question_token,7,8,137,34,180,0.6721453287197232,0.555363321799308,0.7829152249134947,0.6718518518518519,0.6265316358024692,0.7198425925925924,0.0002934768678712
qwen2.5-7b-instruct,sonnet,1,1042,3,last_question_token,7,8,136,34,181,0.6877162629757786,0.5639705882352941,0.8088451557093425,0.6782149507035804,0.632090748145661,0.7230571411129086,0.0095013122721981
qwen2.5-7b-instruct,sonnet,2,2042,3,last_question_token,7,8,145,36,170,0.7160493827160495,0.5902777777777778,0.8187114197530864,0.7192733564013842,0.6718849480968858,0.7649974048442906,-0.0032239736853347
qwen2.5-7b-instruct,sonnet,3,3042,3,last_question_token,7,8,126,32,193,0.7041015625,0.5800537109375,0.8155517578124999,0.657735778141695,0.6109647238852051,0.705767268919971,0.0463657843583049
qwen2.5-7b-instruct,sonnet,4,4042,3,last_question_token,7,8,131,33,187,0.6437098255280073,0.5224747474747474,0.7594123048668503,0.6627870399496698,0.6130243930338299,0.7111756126855215,-0.0190772144216625
qwen2.5-7b-instruct,sonnet,0,42,5,last_question_token,7,8,137,34,180,0.661764705882353,0.5319636678200692,0.7785683391003461,0.6692592592592592,0.6230501543209875,0.7144236111111111,-0.0074945533769061
qwen2.5-7b-instruct,sonnet,1,1042,5,last_question_token,7,8,136,34,181,0.666955017301038,0.5467128027681661,0.7724913494809689,0.7029699948109032,0.6557591343365586,0.7485584994353043,-0.0360149775098651
qwen2.5-7b-instruct,sonnet,2,2042,5,last_question_token,7,8,145,36,170,0.6875,0.5546875,0.8009452160493827,0.729204152249135,0.6818650519031143,0.7728192041522493,-0.041704152249135
qwen2.5-7b-instruct,sonnet,3,3042,5,last_question_token,7,8,126,32,193,0.734375,0.609375,0.853564453125,0.6427018174984562,0.5963052699401327,0.6936058686139226,0.0916731825015437
qwen2.5-7b-instruct,sonnet,4,4042,5,last_question_token,7,8,131,33,187,0.6887052341597797,0.5665059687786961,0.813613406795225,0.6827189796677057,0.6347865252080415,0.7299736909834426,0.005986254492074
qwen2.5-7b-instruct,sonnet,0,42,7,last_question_token,7,8,137,34,180,0.6565743944636678,0.5293901384083045,0.7664576124567475,0.6932407407407408,0.6474683641975308,0.7383402777777778,-0.0366663462770729
qwen2.5-7b-instruct,sonnet,1,1042,7,last_question_token,7,8,136,34,181,0.6799307958477508,0.5544550173010381,0.7958693771626298,0.6890204816702787,0.6418706693934861,0.733351393425109,-0.0090896858225278
qwen2.5-7b-instruct,sonnet,2,2042,7,last_question_token,7,8,145,36,170,0.7044753086419754,0.5825424382716049,0.8040316358024693,0.7098269896193772,0.661279411764706,0.7549584775086504,-0.0053516809774017
qwen2.5-7b-instruct,sonnet,3,3042,7,last_question_token,7,8,126,32,193,0.7373046875,0.626953125,0.8467773437499999,0.6633198206663266,0.6175414105076646,0.7093707213616474,0.0739848668336734
qwen2.5-7b-instruct,sonnet,4,4042,7,last_question_token,7,8,131,33,187,0.7575757575757576,0.6326905417814509,0.8705234159779613,0.6907260716634733,0.6386006176899539,0.7384033000657726,0.0668496859122842
qwen2.5-7b-instruct,sonnet,0,42,9,last_question_token,7,8,137,34,180,0.713667820069204,0.6107050173010381,0.8201773356401382,0.6835185185185185,0.638508487654321,0.7284938271604938,0.0301493015506855
qwen2.5-7b-instruct,sonnet,1,1042,9,last_question_token,7,8,136,34,181,0.7413494809688581,0.6323529411764706,0.8417387543252596,0.6881047587069992,0.6409503678153903,0.7306889289093741,0.0532447222618589
qwen2.5-7b-instruct,sonnet,2,2042,9,last_question_token,7,8,145,36,170,0.7723765432098765,0.6635416666666667,0.8641975308641976,0.7310726643598616,0.6835622837370242,0.7784325259515571,0.0413038788500148
qwen2.5-7b-instruct,sonnet,3,3042,9,last_question_token,7,8,126,32,193,0.7158203125,0.599609375,0.826171875,0.6804746436145936,0.6349687239925904,0.7255577330935058,0.0353456688854063
qwen2.5-7b-instruct,sonnet,4,4042,9,last_question_token,7,8,131,33,187,0.7346189164370983,0.6289256198347108,0.8328741965105602,0.6930138122336927,0.6468400583373846,0.7396065086219222,0.0416051042034055
qwen2.5-7b-instruct,sonnet,0,42,11,last_question_token,7,8,137,34,180,0.7249134948096887,0.6124567474048443,0.8295847750865052,0.6715740740740741,0.6224058641975309,0.7180100308641975,0.0533394207356145
qwen2.5-7b-instruct,sonnet,1,1042,11,last_question_token,7,8,136,34,181,0.7309688581314878,0.6236807958477508,0.8365268166089965,0.695735783400995,0.6524648209761608,0.7435540734409816,0.0352330747304928
qwen2.5-7b-instruct,sonnet,2,2042,11,last_question_token,7,8,145,36,170,0.7368827160493828,0.6087577160493828,0.8426311728395061,0.7385813148788927,0.6916245674740484,0.7824256055363321,-0.0016985988295098
qwen2.5-7b-instruct,sonnet,3,3042,11,last_question_token,7,8,126,32,193,0.728515625,0.6249755859375,0.8340576171874999,0.6720448871110634,0.6262147977126903,0.718950173159011,0.0564707378889366
qwen2.5-7b-instruct,sonnet,4,4042,11,last_question_token,7,8,131,33,187,0.686868686868687,0.5592056932966024,0.797979797979798,0.6902399267923017,0.6420501015184878,0.7352312047813778,-0.0033712399236147
qwen2.5-7b-instruct,sonnet,0,42,13,last_question_token,7,8,137,34,180,0.7577854671280277,0.6470371972318338,0.8633650519031142,0.6743209876543209,0.6280447530864197,0.7214845679012345,0.0834644794737068
qwen2.5-7b-instruct,sonnet,1,1042,13,last_question_token,7,8,136,34,181,0.7413494809688582,0.6461505190311418,0.8382352941176471,0.705228778120326,0.6589527181709961,0.7494314886602973,0.0361207028485321
qwen2.5-7b-instruct,sonnet,2,2042,13,last_question_token,7,8,145,36,170,0.7523148148148148,0.6427469135802469,0.8488040123456789,0.7371972318339101,0.6903304498269897,0.7813589965397925,0.0151175829809047
qwen2.5-7b-instruct,sonnet,3,3042,13,last_question_token,7,8,126,32,193,0.671875,0.588818359375,0.7637451171874999,0.6793202502080593,0.6366593734059974,0.7243691105801497,-0.0074452502080593
qwen2.5-7b-instruct,sonnet,4,4042,13,last_question_token,7,8,131,33,187,0.6905417814508724,0.5812213039485766,0.7860422405876951,0.6927850381766708,0.6463968086019046,0.7401734393319797,-0.0022432567257983
qwen2.5-7b-instruct,sonnet,0,42,15,last_question_token,7,8,137,34,180,0.7932525951557093,0.6903114186851211,0.8840830449826989,0.6914814814814815,0.6510455246913579,0.7340138888888887,0.1017711136742278
qwen2.5-7b-instruct,sonnet,1,1042,15,last_question_token,7,8,136,34,181,0.7595155709342559,0.6643598615916956,0.8529628027681662,0.7189951466682947,0.6777006196392051,0.7627995177192393,0.0405204242659612
qwen2.5-7b-instruct,sonnet,2,2042,15,last_question_token,7,8,145,36,170,0.7445987654320988,0.6296103395061728,0.8480131172839507,0.7186159169550173,0.6778546712802769,0.760007785467128,0.0259828484770815
qwen2.5-7b-instruct,sonnet,3,3042,15,last_question_token,7,8,126,32,193,0.7333984375,0.6308349609375,0.830126953125,0.7034014335955328,0.660229133668018,0.7474308035115036,0.0299970039044672
qwen2.5-7b-instruct,sonnet,4,4042,15,last_question_token,7,8,131,33,187,0.7061524334251607,0.5996326905417815,0.8080808080808081,0.7132889130372617,0.6707919871886527,0.7588035116817752,-0.007136479612101
qwen2.5-7b-instruct,sonnet,0,42,17,last_question_token,7,8,137,34,180,0.8693771626297577,0.7750216262975779,0.939446366782007,0.7507407407407408,0.7140108024691358,0.7901612654320989,0.1186364218890169
qwen2.5-7b-instruct,sonnet,1,1042,17,last_question_token,7,8,136,34,181,0.7811418685121106,0.6729887543252595,0.8728589965397924,0.7301364427215287,0.685411770092488,0.7728129483227009,0.0510054257905819
qwen2.5-7b-instruct,sonnet,2,2042,17,last_question_token,7,8,145,36,170,0.7453703703703703,0.6311342592592593,0.8464699074074075,0.7620069204152249,0.7204316608996539,0.8050562283737024,-0.0166365500448545
qwen2.5-7b-instruct,sonnet,3,3042,17,last_question_token,7,8,126,32,193,0.732421875,0.62978515625,0.8291015625,0.7400467126634273,0.697331471985825,0.7828163172165695,-0.0076248376634272
qwen2.5-7b-instruct,sonnet,4,4042,17,last_question_token,7,8,131,33,187,0.7566574839302111,0.6574609733700644,0.8503213957759412,0.7589293374131374,0.7171230232491635,0.80005933827104,-0.0022718534829262
