model,layer,position,eval_set,n,auroc,ci_lo,ci_hi,ece
gemma-2-2b-it,5,first_answer_token,medmcqa,1000,0.532184,0.5100559000000001,0.5528960999999999,0.4453236748990576
gemma-2-2b-it,7,first_answer_token,medqa_textbook_heldout,200,0.7080000000000001,0.6459799999999999,0.7679025,0.2673269548239642
gemma-2-2b-it,7,first_answer_token,medmcqa,1000,0.466892,0.4466855,0.4873088,0.4602569272837341
gemma-2-2b-it,9,first_answer_token,medqa_textbook_heldout,200,0.7199,0.654095,0.7862125,0.1988422296844506
gemma-2-2b-it,9,first_answer_token,medmcqa,1000,0.5377399999999999,0.5175919,0.5576196,0.4814366444226269
gemma-2-2b-it,11,first_answer_token,medqa_textbook_heldout,200,0.7264,0.6619799999999999,0.788405,0.2338928542640266
gemma-2-2b-it,11,first_answer_token,medmcqa,1000,0.547816,0.5273507000000001,0.5679876999999999,0.4000142693829598
gemma-2-2b-it,13,first_answer_token,medqa_textbook_heldout,200,0.7522,0.6962825,0.8090025000000001,0.2342086943064733
gemma-2-2b-it,13,first_answer_token,medmcqa,1000,0.522828,0.5018706000000001,0.5438644999999999,0.4591752295623688
gemma-2-2b-it,15,first_answer_token,medqa_textbook_heldout,200,0.714,0.6492,0.7775075,0.2226189040275964
gemma-2-2b-it,15,first_answer_token,medmcqa,1000,0.502996,0.4833353999999999,0.5212834,0.4892957984684597
gemma-2-2b-it,17,first_answer_token,medqa_textbook_heldout,200,0.7162999999999999,0.653785,0.7778099999999999,0.2757824485168934
gemma-2-2b-it,17,first_answer_token,medmcqa,1000,0.507028,0.4878895,0.5264803,0.4946402817792172
gemma-3-4b-it,1,last_question_token,medqa_textbook_heldout,200,0.7122,0.65368,0.7690224999999999,0.256915685982139
gemma-3-4b-it,1,last_question_token,medmcqa,1000,0.4904039999999999,0.4699167,0.5109840999999999,0.4775661986152086
gemma-3-4b-it,3,last_question_token,medqa_textbook_heldout,200,0.6777,0.6166975,0.7321025,0.3293797618432556
gemma-3-4b-it,3,last_question_token,medmcqa,1000,0.501996,0.4882518,0.5159619,0.497749115965272
gemma-3-4b-it,5,last_question_token,medqa_textbook_heldout,200,0.6852,0.6243775,0.7383025000000001,0.2819580907914438
gemma-3-4b-it,5,last_question_token,medmcqa,1000,0.509896,0.4989198,0.5205627999999999,0.4993370404651255
gemma-3-4b-it,7,last_question_token,medqa_textbook_heldout,200,0.7342,0.6749900000000001,0.78811,0.2478155481364728
gemma-3-4b-it,7,last_question_token,medmcqa,1000,0.492688,0.4826739,0.5022727,0.4853489624995528
gemma-3-4b-it,9,last_question_token,medqa_textbook_heldout,200,0.7031000000000001,0.6378875,0.7597050000000001,0.2638945328450902
gemma-3-4b-it,9,last_question_token,medmcqa,1000,0.511636,0.4999034,0.5232800999999999,0.4956513470747825
gemma-3-4b-it,11,last_question_token,medqa_textbook_heldout,200,0.7252000000000001,0.6640975,0.7848025,0.2750421729369911
gemma-3-4b-it,11,last_question_token,medmcqa,1000,0.502716,0.4868151999999999,0.5188176,0.4339035057369365
gemma-3-4b-it,13,last_question_token,medqa_textbook_heldout,200,0.7268999999999999,0.6647649999999999,0.7872049999999999,0.2491260346720067
gemma-3-4b-it,13,last_question_token,medmcqa,1000,0.5094920000000001,0.4972865000000001,0.5222081,0.4732702415787295
gemma-3-4b-it,15,last_question_token,medqa_textbook_heldout,200,0.7193999999999999,0.6647850000000001,0.7776,0.2832241092797941
gemma-3-4b-it,15,last_question_token,medmcqa,1000,0.529508,0.5140562000000001,0.5472427000000001,0.4627910603758784
gemma-3-4b-it,17,last_question_token,medqa_textbook_heldout,200,0.7275,0.668685,0.7837075,0.2873165379211546
gemma-3-4b-it,17,last_question_token,medmcqa,1000,0.565348,0.5439797000000001,0.5869323,0.4897788938840405
gemma-3-4b-it,19,last_question_token,medqa_textbook_heldout,200,0.7373999999999999,0.6713000000000001,0.799615,0.2618745569428773
gemma-3-4b-it,19,last_question_token,medmcqa,1000,0.539228,0.5190851,0.5586086,0.4842846233681088
gemma-3-4b-it,21,last_question_token,medqa_textbook_heldout,200,0.7198,0.65178,0.7867225,0.2953733383817536
gemma-3-4b-it,21,last_question_token,medmcqa,1000,0.5229520000000001,0.5005309000000001,0.5426217,0.4705538276800705
gemma-3-4b-it,23,last_question_token,medqa_textbook_heldout,200,0.7547000000000001,0.6859775,0.81833,0.2636736526608446
gemma-3-4b-it,23,last_question_token,medmcqa,1000,0.561648,0.5377532000000002,0.5846827,0.4730008598834005
gemma-3-4b-it,25,last_question_token,medqa_textbook_heldout,200,0.7696999999999999,0.7072575000000001,0.8287224999999999,0.2342441963621263
gemma-3-4b-it,25,last_question_token,medmcqa,1000,0.555236,0.5312115,0.5782627,0.4485874845831595
gemma-3-4b-it,1,first_answer_token,medqa_textbook_heldout,200,0.7300000000000001,0.6628925,0.7927099999999999,0.1518436567123427
gemma-3-4b-it,1,first_answer_token,medmcqa,1000,0.439332,0.4118496,0.4685059,0.4700499435500041
gemma-3-4b-it,3,first_answer_token,medqa_textbook_heldout,200,0.7373,0.672695,0.7970200000000001,0.2278915542052473
gemma-3-4b-it,3,first_answer_token,medmcqa,1000,0.516316,0.4962878,0.5377035000000001,0.4780283903848
gemma-3-4b-it,5,first_answer_token,medqa_textbook_heldout,200,0.7199000000000001,0.6575850000000001,0.7751175,0.2380527159193613
gemma-3-4b-it,5,first_answer_token,medmcqa,1000,0.544168,0.5181391000000001,0.5679011,0.4012758805734812
gemma-3-4b-it,7,first_answer_token,medqa_textbook_heldout,200,0.7738999999999999,0.7165775,0.8260474999999999,0.2039149532562136
gemma-3-4b-it,7,first_answer_token,medmcqa,1000,0.527972,0.5082844999999999,0.5466644,0.4581771210514844
gemma-3-4b-it,9,first_answer_token,medqa_textbook_heldout,200,0.7416,0.6829975,0.7958100000000001,0.2077633975717147
gemma-3-4b-it,9,first_answer_token,medmcqa,1000,0.55764,0.5308314,0.5816764999999999,0.415747226351941
gemma-3-4b-it,11,first_answer_token,medqa_textbook_heldout,200,0.7301,0.66369,0.7899249999999999,0.2643863905261981
gemma-3-4b-it,11,first_answer_token,medmcqa,1000,0.5523440000000001,0.5284544,0.5738023,0.4493439524384948
gemma-3-4b-it,13,first_answer_token,medqa_textbook_heldout,200,0.7546999999999999,0.6977975000000001,0.8080025000000001,0.224785049696607
gemma-3-4b-it,13,first_answer_token,medmcqa,1000,0.545516,0.5224468,0.5661449,0.4688717042941176
gemma-3-4b-it,15,first_answer_token,medqa_textbook_heldout,200,0.7502,0.6875749999999999,0.8062075000000001,0.2251034746115183
gemma-3-4b-it,15,first_answer_token,medmcqa,1000,0.4421679999999999,0.4185675,0.4662856,0.474387758711387
gemma-3-4b-it,17,first_answer_token,medqa_textbook_heldout,200,0.7498000000000001,0.6903825,0.8082025,0.2251929237168996
gemma-3-4b-it,17,first_answer_token,medmcqa,1000,0.548752,0.5246381999999999,0.5714,0.4484812735077013
gemma-3-4b-it,19,first_answer_token,medqa_textbook_heldout,200,0.755,0.69659,0.8127074999999999,0.2162239686501147
gemma-3-4b-it,19,first_answer_token,medmcqa,1000,0.579724,0.5547345,0.6033586,0.4478707090494536
gemma-3-4b-it,21,first_answer_token,medqa_textbook_heldout,200,0.7634,0.7066825,0.8183025,0.204514936087568
gemma-3-4b-it,21,first_answer_token,medmcqa,1000,0.592068,0.5649980000000001,0.6166488999999999,0.4207103102331425
gemma-3-4b-it,23,first_answer_token,medqa_textbook_heldout,200,0.7534000000000001,0.6967,0.8169375,0.1966645993690192
gemma-3-4b-it,23,first_answer_token,medmcqa,1000,0.5601,0.5358757000000001,0.5833416,0.4545164692972294
gemma-3-4b-it,25,first_answer_token,medqa_textbook_heldout,200,0.7525000000000001,0.6941975,0.8134,0.2403797304977893
gemma-3-4b-it,25,first_answer_token,medmcqa,1000,0.5856999999999999,0.5604799,0.6104567,0.4081943406357485
qwen2.5-7b-instruct,1,last_question_token,medqa_textbook_heldout,200,0.6990000000000001,0.6376850000000001,0.756615,0.2756954856335933
qwen2.5-7b-instruct,1,last_question_token,medmcqa,1000,0.4966119999999999,0.4786266,0.5145653,0.4445624504010396
qwen2.5-7b-instruct,3,last_question_token,medqa_textbook_heldout,200,0.7237,0.664765,0.7747025,0.3001530413939747
qwen2.5-7b-instruct,3,last_question_token,medmcqa,1000,0.5017560000000001,0.4829459,0.5196280999999999,0.4972613737996963
qwen2.5-7b-instruct,5,last_question_token,medqa_textbook_heldout,200,0.7164,0.6549975,0.7741175,0.2774485802523428
qwen2.5-7b-instruct,5,last_question_token,medmcqa,1000,0.498008,0.4785507,0.5171836,0.4229803687684531
qwen2.5-7b-instruct,7,last_question_token,medqa_textbook_heldout,200,0.7109,0.646995,0.7718025000000001,0.2874000272636949
qwen2.5-7b-instruct,7,last_question_token,medmcqa,1000,0.502896,0.4876900999999999,0.5176801,0.4553106124000935
qwen2.5-7b-instruct,9,last_question_token,medqa_textbook_heldout,200,0.7373000000000001,0.6794549999999999,0.7950149999999999,0.2842741098623021
qwen2.5-7b-instruct,9,last_question_token,medmcqa,1000,0.501044,0.489462,0.51349505,0.4696315415621948
qwen2.5-7b-instruct,11,last_question_token,medqa_textbook_heldout,200,0.7366999999999999,0.6846924999999999,0.7887099999999999,0.2501311240958905
qwen2.5-7b-instruct,11,last_question_token,medmcqa,1000,0.511312,0.49518715,0.5276884000000001,0.4788111666289788
qwen2.5-7b-instruct,13,last_question_token,medqa_textbook_heldout,200,0.7343999999999999,0.6750875000000001,0.7889225,0.287261412884296
qwen2.5-7b-instruct,13,last_question_token,medmcqa,1000,0.5075560000000001,0.4927624,0.5232702,0.4467423557842542
qwen2.5-7b-instruct,15,last_question_token,medqa_textbook_heldout,200,0.7524000000000001,0.6925975000000001,0.8125,0.2198129936698329
qwen2.5-7b-instruct,15,last_question_token,medmcqa,1000,0.516572,0.4991725999999999,0.5333142,0.4224142752280666
qwen2.5-7b-instruct,17,last_question_token,medqa_textbook_heldout,200,0.7836000000000001,0.730995,0.8366025,0.237903638348975
qwen2.5-7b-instruct,17,last_question_token,medmcqa,1000,0.541296,0.5203153,0.5594069,0.4310737214869944
qwen2.5-7b-instruct,19,last_question_token,medqa_textbook_heldout,200,0.7816000000000001,0.7239650000000001,0.8329125,0.2225959845431663
qwen2.5-7b-instruct,19,last_question_token,medmcqa,1000,0.609452,0.5840101,0.6350311000000001,0.3977094505702383
qwen2.5-7b-instruct,21,last_question_token,medqa_textbook_heldout,200,0.7914,0.7325849999999999,0.8480000000000001,0.2461600013467398
qwen2.5-7b-instruct,21,last_question_token,medmcqa,1000,0.5676,0.543995,0.5912379999999999,0.4526725881581779
qwen2.5-7b-instruct,23,last_question_token,medqa_textbook_heldout,200,0.7947,0.7355975,0.851,0.2161678192055398
qwen2.5-7b-instruct,23,last_question_token,medmcqa,1000,0.563984,0.5402060000000001,0.5870639,0.4565596642144348
qwen2.5-7b-instruct,25,last_question_token,medqa_textbook_heldout,200,0.7767,0.7132924999999999,0.8375025000000003,0.2396292188438809
qwen2.5-7b-instruct,25,last_question_token,medmcqa,1000,0.567356,0.5442864,0.591412,0.4490057282504191
qwen2.5-7b-instruct,27,last_question_token,medqa_textbook_heldout,200,0.786,0.7261,0.8450025,0.2372705030196092
qwen2.5-7b-instruct,27,last_question_token,medmcqa,1000,0.57356,0.5491275,0.6002208,0.4463021353757998
qwen2.5-7b-instruct,1,first_answer_token,medqa_textbook_heldout,200,0.6793,0.6156649999999999,0.7467025,0.2921215386463464
qwen2.5-7b-instruct,1,first_answer_token,medmcqa,1000,0.553196,0.5211674,0.5829300999999999,0.4000728571475881
qwen2.5-7b-instruct,3,first_answer_token,medqa_textbook_heldout,200,0.7080000000000001,0.6421975,0.7722999999999999,0.2760158542278877
qwen2.5-7b-instruct,3,first_answer_token,medmcqa,1000,0.484704,0.4631722,0.5058691,0.4206196268855234
qwen2.5-7b-instruct,5,first_answer_token,medqa_textbook_heldout,200,0.7218,0.6608575,0.7837100000000001,0.2639170516801813
qwen2.5-7b-instruct,5,first_answer_token,medmcqa,1000,0.558684,0.5348738000000001,0.5835564999999999,0.4040526645404729
qwen2.5-7b-instruct,7,first_answer_token,medqa_textbook_heldout,200,0.7387999999999999,0.6770975,0.8033024999999999,0.2761908139838469
qwen2.5-7b-instruct,7,first_answer_token,medmcqa,1000,0.523936,0.5040037,0.5444962,0.4480952040526448
qwen2.5-7b-instruct,9,first_answer_token,medqa_textbook_heldout,200,0.7486,0.6857975,0.8090200000000001,0.2411058055644523
qwen2.5-7b-instruct,9,first_answer_token,medmcqa,1000,0.554064,0.5316645,0.5775256999999999,0.429843601601505
qwen2.5-7b-instruct,11,first_answer_token,medqa_textbook_heldout,200,0.7606999999999999,0.701395,0.8180075,0.2488835555050119
qwen2.5-7b-instruct,11,first_answer_token,medmcqa,1000,0.563972,0.5423387000000001,0.5858951,0.4079051289960664
qwen2.5-7b-instruct,13,first_answer_token,medqa_textbook_heldout,200,0.7520000000000001,0.6919949999999999,0.8098075,0.2324461179203478
qwen2.5-7b-instruct,13,first_answer_token,medmcqa,1000,0.569232,0.544401,0.5941571,0.3908072593522051
qwen2.5-7b-instruct,15,first_answer_token,medqa_textbook_heldout,200,0.7465,0.6879949999999999,0.8043125,0.2151330274790288
qwen2.5-7b-instruct,15,first_answer_token,medmcqa,1000,0.568776,0.5471663,0.5898486000000001,0.4243368966233036
qwen2.5-7b-instruct,17,first_answer_token,medqa_textbook_heldout,200,0.7759999999999999,0.7161000000000001,0.8357224999999999,0.2307529491214692
qwen2.5-7b-instruct,17,first_answer_token,medmcqa,1000,0.524204,0.5016027999999999,0.5469647999999999,0.3856770617196103
qwen2.5-7b-instruct,19,first_answer_token,medqa_textbook_heldout,200,0.7981,0.7404725000000001,0.85,0.2265843457995603
qwen2.5-7b-instruct,19,first_answer_token,medmcqa,1000,0.561652,0.5399456,0.5826360999999999,0.436873820769081
qwen2.5-7b-instruct,21,first_answer_token,medqa_textbook_heldout,200,0.8028000000000001,0.7476975,0.8613074999999999,0.2185397185577135
qwen2.5-7b-instruct,21,first_answer_token,medmcqa,1000,0.569376,0.5433976,0.5929934,0.4159255914899497
qwen2.5-7b-instruct,23,first_answer_token,medqa_textbook_heldout,200,0.7884999999999999,0.7334925,0.84046,0.2381727372962464
qwen2.5-7b-instruct,23,first_answer_token,medmcqa,1000,0.5759639999999999,0.5484838,0.6003080000000001,0.4340621345495823
qwen2.5-7b-instruct,25,first_answer_token,medqa_textbook_heldout,200,0.7619,0.7024,0.8211025000000001,0.2380988200374371
qwen2.5-7b-instruct,25,first_answer_token,medmcqa,1000,0.583632,0.5590526,0.608559,0.3927708774133918
qwen2.5-7b-instruct,27,first_answer_token,medqa_textbook_heldout,200,0.7685000000000001,0.7134725000000002,0.8230025000000001,0.2006356530273406
qwen2.5-7b-instruct,27,first_answer_token,medmcqa,1000,0.5651280000000001,0.5409968999999999,0.5896215,0.3841710303167485
llama-3-8b-instruct,1,last_question_token,medqa_textbook_heldout,200,0.7083,0.6497874999999999,0.765725,0.3081054734179813
llama-3-8b-instruct,1,last_question_token,medmcqa,1000,0.5075540000000001,0.49526905,0.5194669999999999,0.4701101244987512
llama-3-8b-instruct,3,last_question_token,medqa_textbook_heldout,200,0.7088,0.6448975,0.7687050000000001,0.3117868964026234
llama-3-8b-instruct,3,last_question_token,medmcqa,1000,0.509068,0.4946985,0.5237681,0.4901046526876868
llama-3-8b-instruct,5,last_question_token,medqa_textbook_heldout,200,0.7372,0.6804749999999999,0.7980100000000001,0.2855161814991582
llama-3-8b-instruct,5,last_question_token,medmcqa,1000,0.508652,0.4995933999999999,0.5180228,0.4672292490760429
llama-3-8b-instruct,7,last_question_token,medqa_textbook_heldout,200,0.7348,0.6734924999999998,0.7919025000000001,0.2718273947727858
llama-3-8b-instruct,7,last_question_token,medmcqa,1000,0.497946,0.4893209,0.5064382500000001,0.470661271099401
llama-3-8b-instruct,9,last_question_token,medqa_textbook_heldout,200,0.6926000000000001,0.6363975000000001,0.744315,0.3087898425687844
llama-3-8b-instruct,9,last_question_token,medmcqa,1000,0.522324,0.5091333,0.5351099,0.4938036333875756
llama-3-8b-instruct,11,last_question_token,medqa_textbook_heldout,200,0.7495,0.691695,0.8032199999999999,0.2673172317050279
llama-3-8b-instruct,11,last_question_token,medmcqa,1000,0.52943,0.5161926,0.5423883,0.4841028835464421
llama-3-8b-instruct,13,last_question_token,medqa_textbook_heldout,200,0.7630000000000001,0.707885,0.8182,0.2421300924790508
llama-3-8b-instruct,13,last_question_token,medmcqa,1000,0.5789080000000001,0.5598510000000001,0.5984657999999999,0.4136298930338662
llama-3-8b-instruct,15,last_question_token,medqa_textbook_heldout,200,0.7995000000000001,0.7415,0.8553249999999999,0.2425210709321562
llama-3-8b-instruct,15,last_question_token,medmcqa,1000,0.5862860000000001,0.5658238,0.6076912999999999,0.4075920562079037
llama-3-8b-instruct,17,last_question_token,medqa_textbook_heldout,200,0.7827999999999999,0.7261650000000001,0.8352274999999999,0.2285605396545496
llama-3-8b-instruct,17,last_question_token,medmcqa,1000,0.574252,0.5539665,0.593989,0.3919541493223052
llama-3-8b-instruct,19,last_question_token,medqa_textbook_heldout,200,0.7807,0.7201925,0.8382050000000001,0.2276645921058573
llama-3-8b-instruct,19,last_question_token,medmcqa,1000,0.5736519999999999,0.5513653000000001,0.5956444,0.3922538709426929
llama-3-8b-instruct,21,last_question_token,medqa_textbook_heldout,200,0.7773,0.711395,0.8372050000000001,0.250957501175532
llama-3-8b-instruct,21,last_question_token,medmcqa,1000,0.5936919999999999,0.5701669,0.6167591000000001,0.3918237883041845
llama-3-8b-instruct,23,last_question_token,medqa_textbook_heldout,200,0.7994,0.7403949999999999,0.8528025,0.2038313902183466
llama-3-8b-instruct,23,last_question_token,medmcqa,1000,0.58892,0.5647703999999999,0.6147160999999999,0.3840456894322678
llama-3-8b-instruct,25,last_question_token,medqa_textbook_heldout,200,0.8013999999999999,0.7390974999999999,0.8582,0.2234956933767022
llama-3-8b-instruct,25,last_question_token,medmcqa,1000,0.587512,0.5636969,0.611376,0.3708479428195329
llama-3-8b-instruct,27,last_question_token,medqa_textbook_heldout,200,0.7855,0.7212875000000001,0.8439099999999999,0.2449087116029585
llama-3-8b-instruct,27,last_question_token,medmcqa,1000,0.6125999999999998,0.588071,0.6369206,0.3806650471867797
llama-3-8b-instruct,29,last_question_token,medqa_textbook_heldout,200,0.8014,0.7424875000000001,0.8572100000000001,0.1995544057733298
llama-3-8b-instruct,29,last_question_token,medmcqa,1000,0.60304,0.5783907,0.6263314,0.4331420489346936
llama-3-8b-instruct,31,last_question_token,medqa_textbook_heldout,200,0.8001,0.7407949999999999,0.8531075,0.2050351710088931
llama-3-8b-instruct,31,last_question_token,medmcqa,1000,0.611784,0.5844368999999999,0.6375781999999999,0.4078081552630935
llama-3-8b-instruct,1,first_answer_token,medqa_textbook_heldout,200,0.7437,0.6840975,0.7990025,0.1984342906739323
llama-3-8b-instruct,1,first_answer_token,medmcqa,1000,0.6512959999999999,0.6225130999999999,0.6795649,0.3380037885800802
llama-3-8b-instruct,3,first_answer_token,medqa_textbook_heldout,200,0.7648,0.7114900000000001,0.8165075,0.2205329739694245
llama-3-8b-instruct,3,first_answer_token,medmcqa,1000,0.56056,0.5362233999999999,0.5846503,0.4783749393696205
llama-3-8b-instruct,5,first_answer_token,medqa_textbook_heldout,200,0.7839999999999999,0.7272974999999999,0.8359249999999999,0.2149419759119899
llama-3-8b-instruct,5,first_answer_token,medmcqa,1000,0.536848,0.5158747,0.5580427,0.4352936077568327
llama-3-8b-instruct,7,first_answer_token,medqa_textbook_heldout,200,0.7707,0.7131949999999999,0.82523,0.2299370931215608
llama-3-8b-instruct,7,first_answer_token,medmcqa,1000,0.569504,0.546094,0.5936946,0.4618164610802541
llama-3-8b-instruct,9,first_answer_token,medqa_textbook_heldout,200,0.7583000000000001,0.7082950000000001,0.809635,0.2447132376175058
llama-3-8b-instruct,9,first_answer_token,medmcqa,1000,0.5359399999999999,0.5159014000000001,0.5573897,0.4640657045455755
llama-3-8b-instruct,11,first_answer_token,medqa_textbook_heldout,200,0.7904,0.7293975,0.84044,0.2128949762696584
llama-3-8b-instruct,11,first_answer_token,medmcqa,1000,0.60758,0.5839032,0.6309442,0.3712432731361966
llama-3-8b-instruct,13,first_answer_token,medqa_textbook_heldout,200,0.7528999999999999,0.6970800000000001,0.8102125,0.2543290682555658
llama-3-8b-instruct,13,first_answer_token,medmcqa,1000,0.6018,0.5726977,0.6267307999999999,0.3590809136122764
llama-3-8b-instruct,15,first_answer_token,medqa_textbook_heldout,200,0.7667,0.7081000000000001,0.826015,0.2423581019057822
llama-3-8b-instruct,15,first_answer_token,medmcqa,1000,0.61154,0.5838696499999999,0.6369145999999999,0.3540797409307241
llama-3-8b-instruct,17,first_answer_token,medqa_textbook_heldout,200,0.7586,0.7009975,0.81531,0.239341650782193
llama-3-8b-instruct,17,first_answer_token,medmcqa,1000,0.599936,0.5734871,0.6252464000000001,0.3699586085038613
llama-3-8b-instruct,19,first_answer_token,medqa_textbook_heldout,200,0.7779,0.72288,0.8329175000000001,0.2314242174351002
llama-3-8b-instruct,19,first_answer_token,medmcqa,1000,0.614404,0.5871656000000001,0.6393617,0.3599689568437422
llama-3-8b-instruct,21,first_answer_token,medqa_textbook_heldout,200,0.7808999999999999,0.7237925,0.833925,0.2460661854120432
llama-3-8b-instruct,21,first_answer_token,medmcqa,1000,0.6302159999999999,0.6022473,0.6582051999999999,0.3540033103795734
llama-3-8b-instruct,23,first_answer_token,medqa_textbook_heldout,200,0.7809999999999999,0.7263950000000001,0.8348150000000001,0.2356021596947213
llama-3-8b-instruct,23,first_answer_token,medmcqa,1000,0.631776,0.6040675000000001,0.6594102,0.3508527852115429
llama-3-8b-instruct,25,first_answer_token,medqa_textbook_heldout,200,0.7693,0.7165900000000001,0.8226025,0.2590557047289444
llama-3-8b-instruct,25,first_answer_token,medmcqa,1000,0.637796,0.6094046999999999,0.6653203999999999,0.3537455925121592
llama-3-8b-instruct,27,first_answer_token,medqa_textbook_heldout,200,0.7732999999999999,0.7224924999999999,0.828165,0.2699174758727525
llama-3-8b-instruct,27,first_answer_token,medmcqa,1000,0.621616,0.5940649,0.6474469,0.3403917871493374
llama-3-8b-instruct,29,first_answer_token,medqa_textbook_heldout,200,0.7752,0.7205900000000001,0.8304,0.2388286625360948
llama-3-8b-instruct,29,first_answer_token,medmcqa,1000,0.6318239999999999,0.6032234,0.6580488999999999,0.35676715754269
llama-3-8b-instruct,31,first_answer_token,medqa_textbook_heldout,200,0.7751,0.7241900000000001,0.8276199999999999,0.2421397718446832
llama-3-8b-instruct,31,first_answer_token,medmcqa,1000,0.6154160000000001,0.5872048,0.6421167,0.3589515815895138
